               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070988,            0.027626,            0.033599,             0.40601,             0.58264,             0.51571,             0.41586,             0.01379,           0.0050751,             0.00906,             0.07005,           0.0033278,           0.0033278
                   1,            0.053437,            0.022497,            0.024488,               0.585,             0.65677,             0.63204,             0.47223,            0.013262,           0.0044645,           0.0071331,            0.039918,           0.0065293,           0.0065293
                   2,            0.049787,             0.02201,            0.020537,              0.5393,             0.63299,              0.5912,             0.46547,            0.016505,           0.0058351,           0.0090756,           0.0096539,           0.0095987,           0.0095987
                   3,            0.049108,            0.021926,            0.019905,              0.6451,             0.63457,             0.64771,             0.50818,            0.011893,            0.005366,           0.0078414,            0.009406,            0.009406,            0.009406
                   4,            0.046501,            0.021537,            0.017369,             0.66684,             0.56132,             0.59574,             0.47502,            0.012267,           0.0064297,           0.0098462,            0.009406,            0.009406,            0.009406
                   5,            0.044304,            0.021195,            0.017146,              0.6887,             0.68642,             0.69352,             0.55759,            0.011026,           0.0048255,           0.0059647,            0.009208,            0.009208,            0.009208
                   6,            0.043227,            0.020854,            0.014969,             0.76356,             0.68096,              0.7362,             0.55821,            0.010878,           0.0042153,           0.0070269,             0.00901,             0.00901,             0.00901
                   7,            0.042386,            0.020628,            0.015056,             0.74587,             0.72203,             0.75993,             0.58582,             0.01069,           0.0038647,           0.0052825,            0.008812,            0.008812,            0.008812
                   8,            0.041629,            0.020242,            0.013838,             0.77094,             0.68854,             0.75281,             0.58008,            0.010264,           0.0042397,           0.0060379,            0.008614,            0.008614,            0.008614
                   9,            0.041691,            0.020366,            0.013512,             0.78118,             0.78776,             0.81426,              0.6401,           0.0093507,           0.0037199,           0.0050266,            0.008416,            0.008416,            0.008416
