               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072728,            0.027082,            0.031774,             0.94433,              0.2211,             0.26846,             0.20778,            0.021677,           0.0087769,            0.010258,            0.070178,           0.0033136,           0.0033136
                   1,            0.054003,            0.017327,            0.021119,             0.55935,             0.43413,              0.4374,             0.38146,            0.016015,           0.0059079,           0.0096272,            0.040046,           0.0065153,           0.0065153
                   2,             0.04978,            0.014599,            0.019556,             0.38871,             0.52121,             0.45566,             0.40127,            0.017826,           0.0049163,           0.0089356,           0.0097823,           0.0095851,           0.0095851
                   3,            0.043445,            0.012924,            0.017445,             0.41588,             0.43529,              0.3968,             0.32771,            0.021693,           0.0053184,           0.0089245,            0.009406,            0.009406,            0.009406
                   4,            0.041201,            0.012792,            0.017164,             0.36529,             0.53184,             0.45248,             0.34592,            0.015828,           0.0052505,           0.0085322,            0.009406,            0.009406,            0.009406
                   5,            0.039897,            0.012384,            0.016863,              0.4452,             0.60986,              0.5088,             0.40988,            0.013319,           0.0058033,           0.0077446,            0.009208,            0.009208,            0.009208
                   6,            0.037336,            0.011459,            0.016176,             0.45847,             0.55472,             0.48798,             0.42211,            0.013772,           0.0051399,           0.0084249,             0.00901,             0.00901,             0.00901
                   7,             0.03683,            0.011409,            0.014938,             0.47646,             0.63298,             0.52793,             0.45261,            0.017823,           0.0046752,           0.0081166,            0.008812,            0.008812,            0.008812
                   8,            0.033864,            0.010903,            0.015844,             0.46541,             0.60434,             0.51388,             0.43412,            0.011865,           0.0044014,           0.0081169,            0.008614,            0.008614,            0.008614
                   9,            0.032842,            0.010654,            0.014338,             0.49596,             0.61777,             0.54312,             0.46045,            0.012163,           0.0047374,           0.0081603,            0.008416,            0.008416,            0.008416
                  10,             0.03376,            0.010854,            0.014328,             0.49348,              0.6357,             0.56306,             0.43552,            0.014903,           0.0058232,           0.0069598,            0.008218,            0.008218,            0.008218
                  11,            0.031035,            0.010422,            0.013734,             0.51137,             0.63339,             0.56022,             0.47582,             0.01142,           0.0040606,            0.006445,             0.00802,             0.00802,             0.00802
                  12,            0.031834,            0.010228,            0.012901,             0.52325,             0.66412,             0.57913,             0.48123,            0.011532,           0.0045677,           0.0070125,            0.007822,            0.007822,            0.007822
                  13,            0.030855,           0.0099736,            0.012492,             0.55954,             0.64811,             0.58281,             0.48472,            0.010987,           0.0048919,             0.00678,            0.007624,            0.007624,            0.007624
                  14,            0.030737,           0.0098912,            0.012484,             0.54572,             0.62628,             0.58841,              0.4753,            0.012184,           0.0055732,           0.0073002,            0.007426,            0.007426,            0.007426
                  15,            0.029149,           0.0096079,            0.012016,             0.59215,             0.65068,             0.63123,             0.52482,            0.010504,           0.0044024,           0.0064602,            0.007228,            0.007228,            0.007228
                  16,            0.031595,           0.0097088,            0.011923,             0.54322,             0.66328,             0.60583,             0.49613,            0.010966,            0.004385,           0.0072769,             0.00703,             0.00703,             0.00703
                  17,            0.030857,           0.0093367,            0.011391,              0.4989,             0.62355,             0.56984,             0.48956,            0.010714,           0.0044287,           0.0066689,            0.006832,            0.006832,            0.006832
                  18,             0.03062,           0.0096571,            0.011592,             0.57046,             0.65873,             0.62165,             0.51342,            0.011109,           0.0051462,           0.0064731,            0.006634,            0.006634,            0.006634
                  19,            0.028609,           0.0086057,            0.010291,             0.56708,             0.63454,              0.5893,             0.50578,             0.01056,           0.0042353,           0.0078375,            0.006436,            0.006436,            0.006436
                  20,             0.02784,           0.0088279,            0.010733,              0.5746,             0.65446,             0.60556,             0.50982,            0.010587,           0.0048531,           0.0074535,            0.006238,            0.006238,            0.006238
                  21,            0.028274,           0.0092444,            0.011119,             0.54528,             0.69621,             0.61054,             0.51801,            0.010554,           0.0040597,           0.0077332,             0.00604,             0.00604,             0.00604
                  22,            0.027397,           0.0088643,            0.010009,             0.59486,             0.65701,             0.62082,              0.5316,            0.010872,           0.0046861,           0.0076173,            0.005842,            0.005842,            0.005842
                  23,            0.026765,           0.0088003,            0.010126,             0.60539,             0.67064,             0.62513,              0.5273,            0.011181,           0.0041743,            0.006328,            0.005644,            0.005644,            0.005644
                  24,              0.0275,           0.0085858,            0.010498,             0.63069,             0.60727,             0.63895,             0.52793,           0.0096876,           0.0042929,            0.007244,            0.005446,            0.005446,            0.005446
                  25,            0.025204,            0.008391,            0.008721,             0.60487,             0.68045,             0.64447,             0.53358,           0.0098342,           0.0046962,           0.0064305,            0.005248,            0.005248,            0.005248
                  26,              0.0257,           0.0083163,           0.0094739,             0.51004,              0.6839,             0.59547,             0.48063,           0.0094693,           0.0047723,           0.0080353,             0.00505,             0.00505,             0.00505
                  27,            0.025619,           0.0081997,             0.00926,             0.60495,             0.71363,             0.64866,             0.54914,           0.0094088,           0.0055902,           0.0053441,            0.004852,            0.004852,            0.004852
                  28,            0.025056,           0.0081942,           0.0088494,             0.63714,             0.66968,             0.66316,             0.54796,            0.009721,           0.0041372,           0.0069413,            0.004654,            0.004654,            0.004654
                  29,            0.024992,            0.008194,           0.0093566,             0.58292,             0.67813,             0.66173,             0.54869,           0.0096507,           0.0038957,           0.0054751,            0.004456,            0.004456,            0.004456
                  30,            0.026492,           0.0082206,           0.0082699,             0.62281,             0.67682,             0.65435,              0.5475,           0.0099202,           0.0040135,           0.0059332,            0.004258,            0.004258,            0.004258
                  31,             0.02517,           0.0080391,           0.0083945,             0.60753,             0.62903,             0.65439,             0.54846,           0.0094077,           0.0047293,           0.0061814,             0.00406,             0.00406,             0.00406
                  32,            0.024099,           0.0078191,           0.0085428,             0.64293,             0.66427,             0.66405,             0.56154,           0.0092168,           0.0049068,           0.0060968,            0.003862,            0.003862,            0.003862
                  33,            0.024526,           0.0077885,           0.0085499,             0.58331,             0.68737,             0.65689,             0.54864,           0.0094761,           0.0045742,           0.0060073,            0.003664,            0.003664,            0.003664
                  34,            0.023806,           0.0077717,           0.0074257,              0.7006,             0.63479,             0.69137,             0.56963,           0.0093975,           0.0047247,           0.0057599,            0.003466,            0.003466,            0.003466
                  35,            0.022945,           0.0075559,           0.0081169,             0.68013,             0.70277,             0.69406,             0.57416,           0.0086457,           0.0047442,           0.0047539,            0.003268,            0.003268,            0.003268
                  36,            0.022973,           0.0074307,           0.0071795,             0.68352,             0.69367,             0.67551,             0.56635,           0.0094896,           0.0043965,           0.0053406,             0.00307,             0.00307,             0.00307
                  37,            0.023382,           0.0075018,           0.0079053,             0.62083,             0.69713,             0.65404,             0.55744,           0.0090929,           0.0039563,           0.0053752,            0.002872,            0.002872,            0.002872
                  38,            0.022866,           0.0070091,           0.0074332,             0.63297,             0.67781,             0.65222,             0.54533,           0.0094978,           0.0050462,           0.0059867,            0.002674,            0.002674,            0.002674
                  39,            0.023016,           0.0072452,           0.0068703,             0.67068,             0.64321,             0.66925,              0.5697,           0.0089938,           0.0046157,            0.005543,            0.002476,            0.002476,            0.002476
                  40,            0.022463,             0.00721,           0.0069163,             0.67004,             0.66544,             0.67705,              0.5636,           0.0087639,           0.0045562,           0.0052274,            0.002278,            0.002278,            0.002278
                  41,            0.022727,            0.007058,           0.0070349,             0.64697,             0.69705,             0.68058,             0.57243,           0.0088171,           0.0040705,           0.0061381,             0.00208,             0.00208,             0.00208
                  42,            0.021383,           0.0068271,           0.0058323,             0.62967,             0.70541,             0.67369,             0.57058,           0.0087622,           0.0047013,           0.0067632,            0.001882,            0.001882,            0.001882
                  43,            0.022005,           0.0066853,           0.0053731,             0.64388,             0.70393,             0.68492,             0.57238,           0.0087445,           0.0050836,           0.0056763,            0.001684,            0.001684,            0.001684
                  44,            0.019795,           0.0065838,           0.0048798,             0.67546,             0.73531,             0.70925,             0.58791,           0.0086144,           0.0042419,           0.0058443,            0.001486,            0.001486,            0.001486
                  45,            0.021522,           0.0067619,           0.0049458,             0.65159,             0.77842,              0.7066,             0.59341,           0.0084956,           0.0046635,           0.0062757,            0.001288,            0.001288,            0.001288
                  46,            0.020388,           0.0064739,           0.0048715,             0.64602,             0.75415,             0.71991,             0.60208,           0.0086451,           0.0049516,           0.0060161,             0.00109,             0.00109,             0.00109
                  47,            0.019182,           0.0062812,           0.0048839,             0.65064,             0.75715,             0.71557,             0.60765,           0.0084409,           0.0052391,           0.0069121,            0.000892,            0.000892,            0.000892
                  48,            0.021308,           0.0063558,           0.0052816,             0.66541,             0.75921,             0.70937,             0.60079,           0.0085267,           0.0051742,           0.0069119,            0.000694,            0.000694,            0.000694
                  49,            0.020254,            0.006331,           0.0050707,              0.6552,             0.75552,             0.71521,             0.60316,           0.0084315,           0.0052671,           0.0064072,            0.000496,            0.000496,            0.000496
