               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072713,            0.027823,            0.029741,             0.71324,             0.31701,             0.25882,             0.22676,            0.028651,           0.0093034,            0.010205,            0.070214,           0.0033095,           0.0033095
                   1,            0.053462,            0.017271,             0.01714,             0.81852,             0.41472,             0.35338,             0.33922,            0.025635,           0.0064159,           0.0094258,            0.040083,           0.0065113,           0.0065113
                   2,             0.04743,            0.013968,            0.014311,             0.34591,             0.45492,             0.38133,             0.32527,            0.022342,           0.0058344,           0.0091593,           0.0098192,           0.0095811,           0.0095811
                   3,            0.041397,            0.012768,            0.014174,             0.47001,              0.5261,             0.46625,             0.38389,            0.021386,           0.0063005,           0.0082769,            0.009406,            0.009406,            0.009406
                   4,            0.042497,            0.012115,            0.014816,             0.42577,              0.5258,             0.47939,             0.37014,            0.014177,           0.0052015,           0.0082471,            0.009406,            0.009406,            0.009406
                   5,            0.038129,            0.011619,            0.013802,             0.50806,             0.52384,             0.45111,             0.37237,            0.014329,           0.0071813,           0.0079259,            0.009208,            0.009208,            0.009208
                   6,            0.035433,             0.01091,            0.012459,             0.47569,             0.60311,             0.53937,             0.46253,            0.013563,           0.0040441,           0.0074017,             0.00901,             0.00901,             0.00901
                   7,             0.03407,            0.010383,            0.011299,             0.48221,             0.60783,             0.54244,             0.45896,            0.014533,           0.0051307,           0.0075334,            0.008812,            0.008812,            0.008812
                   8,             0.03466,            0.010402,            0.012855,              0.4789,             0.59345,             0.50978,             0.42175,              0.0134,           0.0062843,           0.0079056,            0.008614,            0.008614,            0.008614
                   9,             0.03196,            0.010063,            0.012121,             0.52755,              0.6422,             0.56017,             0.46632,            0.012948,           0.0047154,           0.0069462,            0.008416,            0.008416,            0.008416
                  10,            0.030233,           0.0095336,            0.012341,              0.4909,             0.61056,             0.53214,             0.46898,            0.013292,           0.0042073,             0.00689,            0.008218,            0.008218,            0.008218
                  11,            0.030565,           0.0096752,            0.011784,              0.5118,             0.57532,             0.53796,             0.45379,            0.014271,             0.00539,            0.007508,             0.00802,             0.00802,             0.00802
                  12,            0.029785,            0.009509,            0.012063,             0.50324,             0.56035,             0.52356,             0.42932,            0.014133,           0.0048299,           0.0070063,            0.007822,            0.007822,            0.007822
                  13,            0.029128,           0.0092508,            0.010989,             0.44942,             0.62029,             0.53761,             0.46849,             0.01154,           0.0048543,           0.0068418,            0.007624,            0.007624,            0.007624
                  14,            0.026731,           0.0086924,            0.010213,             0.55399,             0.68467,             0.59746,             0.49874,            0.012146,           0.0048322,           0.0070698,            0.007426,            0.007426,            0.007426
                  15,            0.027876,           0.0087912,            0.011614,             0.51159,             0.62749,             0.57733,              0.4909,            0.011382,           0.0048673,           0.0064694,            0.007228,            0.007228,            0.007228
                  16,            0.028682,           0.0087673,            0.010524,             0.50678,             0.57176,             0.54314,             0.46211,            0.011188,           0.0047637,           0.0064906,             0.00703,             0.00703,             0.00703
                  17,             0.02692,           0.0084363,            0.011168,             0.47897,             0.61033,             0.58338,              0.4942,            0.012022,           0.0051484,           0.0066987,            0.006832,            0.006832,            0.006832
                  18,            0.026484,            0.008476,            0.010231,             0.56402,             0.66611,             0.60077,             0.50127,            0.011601,           0.0039656,           0.0061534,            0.006634,            0.006634,            0.006634
                  19,            0.025783,           0.0080211,            0.010318,             0.49027,             0.63541,             0.57976,             0.46928,            0.012231,           0.0056819,           0.0067171,            0.006436,            0.006436,            0.006436
                  20,            0.026708,           0.0081966,            0.010744,             0.53575,             0.64702,              0.5987,             0.49319,            0.011279,           0.0044652,            0.006288,            0.006238,            0.006238,            0.006238
                  21,            0.022957,           0.0077733,           0.0096023,             0.54672,             0.69779,             0.61006,             0.50967,            0.010531,           0.0049554,           0.0061121,             0.00604,             0.00604,             0.00604
                  22,             0.02551,           0.0080152,            0.010796,             0.55602,             0.67096,              0.6141,             0.52013,            0.010962,           0.0054524,           0.0059448,            0.005842,            0.005842,            0.005842
                  23,            0.023602,           0.0076077,           0.0098923,             0.58241,             0.65682,             0.62232,             0.51093,             0.01033,           0.0049749,           0.0060342,            0.005644,            0.005644,            0.005644
                  24,            0.023972,           0.0075838,            0.009714,              0.5649,             0.65752,             0.60297,             0.51543,            0.010472,           0.0054978,           0.0055305,            0.005446,            0.005446,            0.005446
                  25,            0.024941,           0.0078568,           0.0098569,             0.53382,             0.64116,              0.6074,              0.5052,            0.010848,           0.0050677,           0.0055758,            0.005248,            0.005248,            0.005248
                  26,            0.023659,           0.0074549,            0.010215,             0.53471,             0.68193,             0.60531,             0.49885,           0.0096378,           0.0058561,           0.0061074,             0.00505,             0.00505,             0.00505
                  27,            0.021668,           0.0073972,           0.0086879,             0.60044,             0.68215,             0.62659,             0.52637,            0.009785,           0.0048861,           0.0060843,            0.004852,            0.004852,            0.004852
                  28,            0.021687,           0.0073303,           0.0097851,             0.58314,             0.71375,             0.64438,             0.53599,           0.0095708,           0.0051759,           0.0053585,            0.004654,            0.004654,            0.004654
                  29,            0.022734,           0.0072783,           0.0087153,             0.59309,             0.68602,             0.63642,             0.53124,            0.009888,           0.0048175,           0.0049444,            0.004456,            0.004456,            0.004456
                  30,            0.022565,           0.0069109,           0.0078693,             0.55675,             0.64457,             0.61037,             0.52104,           0.0099232,           0.0050061,           0.0053276,            0.004258,            0.004258,            0.004258
                  31,            0.021888,           0.0071304,           0.0079807,             0.61149,             0.66821,             0.63801,             0.53256,           0.0096174,           0.0045815,           0.0057625,             0.00406,             0.00406,             0.00406
                  32,            0.018898,           0.0064421,           0.0070636,             0.59758,             0.67899,             0.64118,             0.53332,            0.010255,           0.0056981,           0.0044441,            0.003862,            0.003862,            0.003862
                  33,            0.019965,           0.0065438,           0.0070383,             0.59053,              0.7143,             0.64314,             0.53252,            0.009956,           0.0051727,           0.0054255,            0.003664,            0.003664,            0.003664
                  34,            0.021836,           0.0066775,           0.0086423,             0.59846,             0.69251,             0.62333,             0.52752,           0.0099107,           0.0051438,           0.0047065,            0.003466,            0.003466,            0.003466
                  35,            0.020541,           0.0067292,           0.0079888,             0.56727,             0.69462,              0.6255,             0.53237,           0.0094814,           0.0042032,           0.0052139,            0.003268,            0.003268,            0.003268
                  36,            0.021553,           0.0069514,           0.0077517,             0.59383,             0.71105,             0.64911,             0.53372,           0.0099061,           0.0056733,           0.0043562,             0.00307,             0.00307,             0.00307
                  37,            0.020745,           0.0067047,           0.0076384,             0.61442,             0.70279,               0.663,             0.54459,           0.0095478,           0.0055152,           0.0045652,            0.002872,            0.002872,            0.002872
                  38,            0.020365,           0.0063869,           0.0076807,             0.60031,             0.69005,             0.66686,             0.55379,           0.0090344,           0.0056105,           0.0053515,            0.002674,            0.002674,            0.002674
                  39,            0.020977,           0.0064769,            0.008481,             0.59748,             0.69964,             0.65925,             0.54048,           0.0089841,           0.0057427,           0.0047489,            0.002476,            0.002476,            0.002476
                  40,            0.020417,           0.0063476,           0.0068164,             0.59292,             0.67295,             0.63571,             0.53564,           0.0086117,           0.0051481,           0.0051731,            0.002278,            0.002278,            0.002278
                  41,            0.018607,           0.0062608,           0.0069088,             0.65126,             0.64852,             0.66913,             0.54716,           0.0092616,           0.0056579,           0.0040592,             0.00208,             0.00208,             0.00208
                  42,              0.0183,           0.0060178,           0.0067491,             0.59059,             0.70575,             0.65303,             0.54309,           0.0088949,           0.0056703,           0.0042707,            0.001882,            0.001882,            0.001882
                  43,            0.018884,           0.0060121,           0.0070247,             0.64838,             0.65295,             0.67741,             0.55456,           0.0087148,           0.0056443,           0.0043384,            0.001684,            0.001684,            0.001684
                  44,            0.019304,           0.0060206,           0.0063023,             0.66694,             0.70063,             0.69683,             0.56951,           0.0087567,           0.0053584,           0.0039201,            0.001486,            0.001486,            0.001486
                  45,            0.017515,           0.0056686,           0.0055429,             0.65731,             0.69162,             0.69671,             0.55699,           0.0085479,           0.0050809,           0.0039033,            0.001288,            0.001288,            0.001288
                  46,            0.016963,           0.0056696,           0.0059641,             0.62961,             0.68615,             0.67942,             0.55349,           0.0085483,           0.0056083,           0.0045616,             0.00109,             0.00109,             0.00109
                  47,            0.018472,           0.0058198,           0.0067446,             0.65744,             0.70293,             0.69407,              0.5612,           0.0084663,           0.0054983,           0.0037267,            0.000892,            0.000892,            0.000892
                  48,             0.01834,           0.0057083,           0.0061052,             0.63607,             0.69873,             0.68359,              0.5627,           0.0085461,           0.0056957,           0.0037843,            0.000694,            0.000694,            0.000694
                  49,            0.017415,           0.0057635,           0.0061412,             0.64597,             0.72252,             0.69512,               0.569,             0.00842,           0.0057062,           0.0038391,            0.000496,            0.000496,            0.000496
